Région,Localisation,Type de bien,Nature,Superficie,Salles de bains,Chambres,Prix
Sousse,Sousse,Maison,À Vendre,360.0,4.0,7.0,549999.0
Ben Arous,Ben_Arous,villa,À Vendre,566.0,3.0,3.0,574124.1761555953
Ariana,Ariana,villa,À Vendre,224.0,2.0,4.0,694764.898980398
Ben Arous,Ben_Arous,Maison,À Vendre,216.0,2.0,3.0,375000.0
Ben Arous,Ben_Arous,villa,À Vendre,418.0,4.0,7.0,790000.0
Ben Arous,Ben_Arous,Maison,À Vendre,420.0,3.0,4.0,590000.0
Ben Arous,Ben_Arous,villa,À Vendre,94.0,1.0,4.0,140000.0
Ben Arous,Ben_Arous,Maison,À Vendre,200.0,1.0,3.0,325000.0
Ben Arous,Ben_Arous,Maison,À Vendre,206.0,1.0,3.0,360000.0
Sousse,Sousse,villa,À Vendre,792.0,1.0,3.0,683539.3709228938
Ben Arous,Ben_Arous,Maison,À Vendre,622.0,1.0,3.0,430000.0
Ben Arous,Ben_Arous,villa,À Vendre,395.0,3.0,3.0,495000.0
Sousse,Sousse,villa,À Vendre,387.0,2.0,5.0,650000.0
Tunis,Tunis,Maison,À Vendre,367.0,4.0,4.0,700000.0
Ben Arous,Ben_Arous,Appartement,À Vendre,622.0,1.0,3.0,800000.0
Tunis,Tunis,Maison,À Vendre,101.0,1.0,2.0,212000.0
Zaghouan,Zaghouan,Villa,À Vendre,160.0,3.0,7.0,600000.0
Sousse,Sousse,villa,À Vendre,760.0,3.0,6.0,796474.141679052
Sousse,Sousse,Maison,À Vendre,365.0,4.0,6.0,459449.20332645904
Tunis,Tunis,Maison,À Vendre,378.0,3.0,3.0,309472.31861064624
Tunis,Tunis,villa,À Vendre,410.0,3.0,4.0,1200000.0
Nabeul,Nabeul,Maison,À Vendre,180.0,1.0,2.0,140000.0
Ben Arous,Ben_Arous,villa,À Vendre,250.0,3.0,5.0,649271.5764290632
Ariana,Ariana,villa,À Vendre,402.0,2.0,4.0,950000.0
Nabeul,Nabeul,villa,À Vendre,550.0,4.0,3.0,870000.0
Nabeul,Nabeul,villa,À Vendre,430.0,3.0,4.0,790000.0
Monastir,Monastir,Villa,À Vendre,970.0,6.0,6.0,388051.3467145299
Nabeul,Nabeul,villa,À Vendre,1295.0,3.0,6.0,809971.9270734747
Nabeul,Nabeul,Appartement,À Vendre,585.0,4.0,8.0,643581.4014981838
Tunis,Tunis,Maison,À Vendre,95.0,2.0,5.0,384556.98591647646
Ariana,Ariana,villa,À Vendre,150.0,6.0,8.0,845430.4366013685
Ben Arous,Ben_Arous,Villa,À Vendre,320.0,2.0,5.0,380000.0
Nabeul,Nabeul,Maison,À Vendre,600.0,4.0,6.0,240000.0
Ben Arous,Ben_Arous,Villa,À Vendre,381.0,2.0,5.0,580000.0
Ariana,Ariana,villa,À Vendre,391.0,2.0,4.0,849000.0
Ariana,Ariana,villa,À Vendre,402.0,5.0,8.0,890000.0
Ariana,Ariana,Appartement,À Vendre,140.0,2.0,3.0,415611.20208410063
Ariana,Ariana,villa,À Vendre,220.0,1.0,4.0,660000.0
Nabeul,Nabeul,villa,À Vendre,320.0,4.0,4.0,990000.0
Nabeul,Nabeul,villa,À Vendre,620.0,4.0,4.0,720000.0
Nabeul,Nabeul,Maison,À Vendre,150.0,1.0,2.0,130000.0
Ben Arous,Ben_Arous,villa,À Vendre,1014.0,4.0,6.0,687073.8268802863
Tunis,Tunis,Villa,À Vendre,260.0,4.0,6.0,880000.0
Ariana,Ariana,villa,À Vendre,300.0,2.0,4.0,980000.0
Ben Arous,Ben_Arous,villa,À Vendre,524.0,2.0,3.0,650000.0
Ben Arous,Ben_Arous,Maison,,189.0,2.0,2.0,98000.0
La Manouba,La_Manouba,Appartement,À Vendre,115.0,1.0,3.0,229000.0
Ben Arous,Ben_Arous,Maison,À Vendre,120.0,2.0,5.0,312155.7246564029
Tunis,Tunis,Maison,À Vendre,250.0,4.0,4.0,720000.0
Tunis,Tunis,Maison,À Vendre,260.0,3.0,5.0,320000.0
Sfax,Sfax,villa,À Vendre,700.0,3.0,4.0,600000.0
Nabeul,Nabeul,villa,À Vendre,440.0,2.0,4.0,845000.0
Tunis,Tunis,villa,À Vendre,464.0,3.0,3.0,646512.0678494831
Ariana,Ariana,villa,À Vendre,300.0,2.0,5.0,970000.0
La Manouba,La_Manouba,Appartement,À Vendre,118.0,2.0,2.0,257443.6849267617
Ben Arous,Ben_Arous,villa,À Vendre,477.0,2.0,4.0,680000.0
Ben Arous,Ben_Arous,villa,À Vendre,169.0,3.0,6.0,480000.0
Ben Arous,Ben_Arous,villa,À Vendre,444.0,3.0,4.0,480000.0
Ariana,Ariana,villa,À Vendre,539.0,2.0,6.0,900000.0
Ariana,Ariana,villa,À Vendre,380.0,5.0,4.0,694997.3737193812
Ben Arous,Ben_Arous,Appartement,À Vendre,100.0,1.0,2.0,115000.0
Ben Arous,Ben_Arous,villa,À Vendre,460.0,3.0,6.0,450000.0
La Manouba,La_Manouba,villa,À Vendre,565.0,4.0,9.0,762404.1380935175
Médenine,Mdenine,villa,À Vendre,450.0,4.0,5.0,570033.6380234691
Monastir,Monastir,Maison,À Vendre,490.0,2.0,2.0,218000.0
Ariana,Ariana,Maison,À Vendre,90.0,2.0,6.0,360000.0
Nabeul,Nabeul,villa,À Vendre,300.0,5.0,4.0,734733.822476821
Sfax,Sfax,villa,À Vendre,829.0,2.0,3.0,850000.0
Ariana,Ariana,villa,À Vendre,318.0,1.0,2.0,619510.4899032223
Ariana,Ariana,Maison,À Vendre,420.0,1.0,5.0,395306.7846176404
Tunis,Tunis,Maison,À Vendre,70.0,1.0,4.0,80000.0
Ben Arous,Ben_Arous,Maison,À Vendre,120.0,3.0,5.0,312224.18743812013
Nabeul,Nabeul,villa,À Vendre,506.0,2.0,4.0,740000.0
Nabeul,Nabeul,Appartement,À Vendre,75.0,1.0,1.0,300000.0
Ariana,Ariana,villa,À Vendre,400.0,1.0,5.0,450000.0
Nabeul,Nabeul,Maison,À Vendre,350.0,3.0,6.0,200000.0
Ariana,Ariana,villa,À Vendre,306.0,2.0,7.0,807582.538076306
Ben Arous,Ben_Arous,villa,À Vendre,600.0,4.0,5.0,649400.8099661712
Tunis,Tunis,villa,À Vendre,611.0,2.0,4.0,684070.2625770543
Ariana,Ariana,villa,À Vendre,227.0,2.0,4.0,970000.0
Nabeul,Nabeul,Maison,À Vendre,550.0,4.0,9.0,585689.6193415648
Nabeul,Nabeul,villa,À Vendre,380.0,2.0,4.0,980000.0
Nabeul,Nabeul,Maison,À Vendre,275.0,1.0,4.0,397430.8135856262
Nabeul,Nabeul,villa,À Vendre,316.0,2.0,3.0,950000.0
Gafsa,Gafsa,villa,À Vendre,402.0,2.0,5.0,427647.5193339613
Tunis,Tunis,Appartement,À Vendre,96.0,1.0,3.0,350000.0
Sfax,Sfax,Maison,À Vendre,189.0,1.0,4.0,267008.49349654175
Nabeul,Nabeul,villa,À Vendre,245.0,3.0,3.0,670000.0
Nabeul,Nabeul,villa,À Vendre,300.0,3.0,4.0,890000.0
Ariana,Ariana,Maison,À Vendre,480.0,2.0,4.0,357784.53145111445
Tunis,Tunis,villa,À Vendre,300.0,4.0,4.0,500000.0
Ben Arous,Ben_Arous,Appartement,À Vendre,160.0,1.0,2.0,198000.0
Nabeul,Nabeul,Maison,À Vendre,280.0,1.0,5.0,435032.8155312991
Nabeul,Nabeul,Appartement,À Vendre,100.0,1.0,2.0,195000.0
Béja,Bja,villa,À Vendre,270.0,2.0,6.0,595260.3784758225
Ben Arous,Ben_Arous,Maison,À Vendre,100.0,1.0,4.0,130000.0
Nabeul,Nabeul,villa,À Vendre,535.0,2.0,4.0,734569.2373531458
Ben Arous,Ben_Arous,villa,À Vendre,436.0,3.0,7.0,724506.1393288341
Nabeul,Nabeul,Maison,À Vendre,280.0,3.0,6.0,472770.8748867583
Tunis,Tunis,villa,À Vendre,241.0,3.0,6.0,550000.0
Nabeul,Nabeul,villa,À Vendre,280.0,2.0,4.0,724999.0
Nabeul,Nabeul,villa,À Vendre,269.0,2.0,3.0,620000.0
Nabeul,Nabeul,villa,À Vendre,364.0,2.0,4.0,734539.5464983692
Ariana,Ariana,villa,À Vendre,280.0,2.0,4.0,590000.0
Monastir,Monastir,villa,À Vendre,1200.0,3.0,8.0,583792.1369873199
Sousse,Sousse,villa,À Vendre,600.0,1.0,6.0,850000.0
Nabeul,Nabeul,villa,À Vendre,220.0,2.0,4.0,650000.0
Ben Arous,Ben_Arous,Maison,À Vendre,500.0,2.0,6.0,990000.0
Ariana,Ariana,Maison,À Vendre,350.0,2.0,6.0,432964.2270403041
Ben Arous,Ben_Arous,Maison,À Vendre,135.0,1.0,4.0,120000.0
Sousse,Sousse,villa,À Vendre,1200.0,3.0,6.0,796550.5392001146
Tunis,Tunis,Maison,À Vendre,189.0,1.0,4.0,189999.0
Ariana,Ariana,villa,À Vendre,402.0,2.0,6.0,269997.0
Nabeul,Nabeul,villa,À Vendre,500.0,1.0,2.0,300000.0
Tunis,Tunis,villa,À Vendre,253.0,2.0,4.0,1230000.0
Ben Arous,Ben_Arous,Appartement,À Vendre,140.0,2.0,4.0,175000.0
Nabeul,Nabeul,Maison,À Vendre,90.0,3.0,4.0,397535.6174640685
Sfax,Sfax,villa,À Vendre,800.0,2.0,9.0,450000.0
Nabeul,Nabeul,Appartement,À Vendre,230.0,1.0,4.0,185000.0
Monastir,Monastir,Appartement,À Vendre,145.0,1.0,3.0,198000.0
Ariana,Ariana,villa,À Vendre,545.0,2.0,4.0,780000.0
Tunis,Tunis,Maison,À Vendre,140.0,1.0,4.0,346895.2027255706
Ben Arous,Ben_Arous,Maison,À Vendre,256.0,2.0,4.0,274578.20464361587
Ben Arous,Ben_Arous,villa,À Vendre,363.0,2.0,4.0,611621.6001277762
Ben Arous,Ben_Arous,villa,À Vendre,373.0,1.0,4.0,540000.0
Tunis,Tunis,Villa,À Vendre,200.0,3.0,5.0,680000.0
Jendouba,Jendouba,villa,À Vendre,802.0,1.0,3.0,550000.0
Ariana,Ariana,villa,À Vendre,420.0,2.0,4.0,980000.0
Nabeul,Nabeul,Maison,À Vendre,500.0,2.0,3.0,180000.0
Nabeul,Nabeul,Appartement,À Vendre,105.0,2.0,3.0,370000.0
Nabeul,Nabeul,villa,À Vendre,400.0,3.0,4.0,734614.2599863552
Nabeul,Nabeul,villa,À Vendre,329.0,4.0,3.0,1100000.0
Ben Arous,Ben_Arous,villa,À Vendre,562.0,4.0,8.0,830000.0
Ariana,Ariana,villa,À Vendre,457.0,2.0,3.0,657204.2211483908
Ariana,Ariana,villa,À Vendre,400.0,3.0,4.0,694863.9207705404
Tunis,Tunis,Appartement,À Vendre,400.0,1.0,1.0,329623.7842123202
Ben Arous,Ben_Arous,villa,À Vendre,500.0,1.0,1.0,990000.0
Ben Arous,Ben_Arous,villa,À Vendre,420.0,1.0,3.0,1100000.0
Tunis,Tunis,Appartement,À Vendre,236.0,1.0,4.0,442398.7101487251
Ariana,Ariana,Appartement,À Vendre,170.0,1.0,3.0,320000.0
Tunis,Tunis,Maison,À Vendre,120.0,1.0,2.0,130000.0
Bizerte,Bizerte,Maison,À Vendre,110.0,1.0,4.0,165000.0
Tunis,Tunis,Appartement,À Vendre,330.0,1.0,1.0,280000.0
Tunis,Tunis,Appartement,À Vendre,312.0,1.0,1.0,329608.50470810774
Ariana,Ariana,villa,À Vendre,426.0,1.0,4.0,790000.0
Tunis,Tunis,villa,À Vendre,244.0,2.0,5.0,1200000.0
Ariana,Ariana,Maison,À Vendre,466.0,1.0,3.0,480000.0
Tunis,Tunis,villa,À Vendre,374.0,3.0,3.0,1200000.0
Tunis,Tunis,Appartement,À Vendre,140.0,1.0,1.0,640000.0
Tunis,Tunis,Appartement,À Vendre,140.0,1.0,2.0,640000.0
Ariana,Ariana,Appartement,À Vendre,300.0,1.0,3.0,850000.0
Bizerte,Bizerte,villa,À Vendre,402.0,1.0,2.0,1200000.0
Nabeul,Nabeul,villa,À Vendre,1200.0,1.0,3.0,697015.1052146463
Ariana,Ariana,villa,À Vendre,200.0,1.0,3.0,420000.0
Tunis,Tunis,Appartement,À Vendre,400.0,1.0,3.0,404826.0517963693
Ariana,Ariana,Maison,À Vendre,466.0,1.0,4.0,480000.0
Ariana,Ariana,villa,À Vendre,400.0,1.0,5.0,780000.0
Tunis,Tunis,villa,À Vendre,649.0,4.0,9.0,1180000.0
Tunis,Tunis,villa,,402.0,2.0,4.0,684033.9737545496
Tunis,Tunis,Maison,À Vendre,143.0,1.0,3.0,290000.0
Ben Arous,Ben_Arous,Appartement,À Vendre,297.0,2.0,3.0,320000.0
Ben Arous,Ben_Arous,Appartement,À Vendre,320.0,2.0,3.0,680000.0
Ben Arous,Ben_Arous,villa,À Vendre,125.0,2.0,6.0,250000.0
Tunis,Tunis,Maison,À Vendre,100.0,3.0,6.0,450000.0
Tunis,Tunis,Appartement,À Vendre,80.0,2.0,3.0,420000.0
Sfax,Sfax,Maison,À Vendre,512.0,1.0,3.0,450000.0
Tunis,Tunis,villa,À Vendre,500.0,4.0,3.0,646586.7813374691
Tunis,Tunis,villa,À Vendre,590.0,4.0,5.0,721804.6756871901
La Manouba,La_Manouba,villa,À Vendre,518.0,3.0,4.0,574321.8457073822
Tunis,Tunis,villa,À Vendre,350.0,3.0,4.0,850000.0
Ariana,Ariana,villa,À Vendre,575.0,4.0,4.0,694962.768929953
Tunis,Tunis,villa,À Louer,402.0,2.0,4.0,684033.9737545496
La Manouba,La_Manouba,Maison,À Vendre,189.0,2.0,6.0,265000.0
Tunis,Tunis,Appartement,À Vendre,400.0,2.0,4.0,860000.0
Nabeul,Nabeul,villa,À Vendre,420.0,1.0,3.0,680000.0
Ben Arous,Ben_Arous,villa,À Vendre,256.0,2.0,4.0,611603.0216396996
Nabeul,Nabeul,villa,À Vendre,385.0,3.0,6.0,1250000.0
Tunis,Tunis,Villa,À Vendre,470.0,4.0,7.0,676282.131617612
Médenine,Mdenine,villa,À Vendre,220.0,2.0,4.0,532255.6436001819
Sousse,Sousse,villa,À Vendre,405.0,2.0,5.0,750000.0
Sousse,Sousse,Maison,À Vendre,180.0,2.0,2.0,150000.0
Ariana,Ariana,villa,À Vendre,764.0,2.0,2.0,950000.0
Ben Arous,Ben_Arous,villa,À Vendre,440.0,4.0,8.0,762176.4304254947
Ben Arous,Ben_Arous,Maison,À Vendre,85.0,3.0,8.0,160000.0
Nabeul,Nabeul,villa,À Vendre,1085.0,3.0,4.0,600000.0
Ben Arous,Ben_Arous,villa,À Vendre,350.0,5.0,6.0,550000.0
Ariana,Ariana,Appartement,À Vendre,150.0,1.0,3.0,400000.0
Tunis,Tunis,villa,À Vendre,400.0,2.0,4.0,750000.0
Nabeul,Nabeul,villa,À Vendre,530.0,2.0,4.0,650000.0
Tunis,Tunis,Maison,À Vendre,120.0,1.0,3.0,50000.0
Ben Arous,Ben_Arous,villa,À Vendre,504.0,2.0,3.0,380000.0
Sfax,Sfax,Maison,À Louer,400.0,1.0,1.0,154241.72820443223
Tunis,Tunis,villa,À Vendre,400.0,4.0,8.0,750000.0
Tunis,Tunis,villa,À Vendre,411.0,5.0,8.0,1050000.0
Ben Arous,Ben_Arous,villa,À Vendre,440.0,2.0,4.0,550000.0
Tunis,Tunis,villa,À Vendre,550.0,2.0,8.0,970000.0
Ariana,Ariana,villa,À Vendre,402.0,2.0,4.0,820000.0
Bizerte,Bizerte,Maison,À Vendre,103.0,2.0,4.0,226679.786325054
Bizerte,Bizerte,villa,À Vendre,206.0,2.0,3.0,470000.0
Tunis,Tunis,villa,À Vendre,654.0,4.0,4.0,684214.6542618654
Tunis,Tunis,villa,À Vendre,400.0,3.0,5.0,721703.2230668322
Tunis,Tunis,Appartement,À Vendre,136.0,1.0,3.0,500000.0
Tunis,Tunis,Villa,À Louer,240.0,2.0,8.0,440000.0
Nabeul,Nabeul,Maison,À Vendre,245.0,1.0,3.0,270000.0
Nabeul,Nabeul,Villa,À Vendre,391.0,4.0,10.0,1250000.0
Nabeul,Nabeul,Maison,À Vendre,743.0,2.0,4.0,660000.0
Tunis,Tunis,villa,À Vendre,500.0,6.0,10.0,909931.6434450755
Ariana,Ariana,Maison,À Vendre,324.0,1.0,3.0,350000.0
Ariana,Ariana,Appartement,À Vendre,156.0,1.0,3.0,295000.0
Tunis,Tunis,villa,À Vendre,463.0,4.0,5.0,721782.6245845198
Ben Arous,Ben_Arous,Appartement,À Vendre,200.0,1.0,3.0,490000.0
Ben Arous,Ben_Arous,Appartement,À Vendre,147.0,1.0,4.0,379000.0
Nabeul,Nabeul,villa,À Vendre,318.0,4.0,4.0,1000000.0
Tunis,Tunis,villa,À Vendre,520.0,4.0,6.0,980000.0
Tunis,Tunis,Maison,À Vendre,172.0,1.0,3.0,309299.62511689606
Ben Arous,Ben_Arous,Maison,À Vendre,90.0,1.0,3.0,98000.0
Ariana,Ariana,villa,À Vendre,620.0,1.0,4.0,360000.0
Nabeul,Nabeul,villa,À Vendre,520.0,4.0,5.0,772304.6922476597
Nabeul,Nabeul,villa,À Vendre,1250.0,4.0,5.0,772431.4426803316
Bizerte,Bizerte,villa,À Vendre,270.0,2.0,3.0,350000.0
Ariana,Ariana,villa,À Vendre,380.0,6.0,5.0,1200000.0
Bizerte,Bizerte,villa,À Vendre,252.0,2.0,1.0,449996.0
Ariana,Ariana,Maison,À Vendre,85.0,2.0,4.0,175000.0
Ben Arous,Ben_Arous,villa,À Vendre,135.0,2.0,9.0,240000.0
Ben Arous,Ben_Arous,villa,À Vendre,245.0,2.0,8.0,400000.0
Ben Arous,Ben_Arous,villa,À Vendre,300.0,3.0,7.0,540000.0
Ben Arous,Ben_Arous,Maison,À Vendre,90.0,2.0,7.0,155000.0
Ben Arous,Ben_Arous,villa,À Vendre,187.0,1.0,3.0,230000.0
Ben Arous,Ben_Arous,villa,À Vendre,300.0,1.0,5.0,280000.0
Ben Arous,Ben_Arous,Appartement,À Vendre,150.0,2.0,4.0,350000.0
Ben Arous,Ben_Arous,villa,À Vendre,400.0,3.0,7.0,650000.0
Ariana,Ariana,villa,À Vendre,530.0,3.0,6.0,450000.0
Tunis,Tunis,Maison,À Vendre,100.0,2.0,8.0,210000.0
Ben Arous,Ben_Arous,Maison,À Vendre,135.0,2.0,8.0,240000.0
Ben Arous,Ben_Arous,villa,À Vendre,187.0,1.0,5.0,235000.0
Tunis,Tunis,Villa,À Vendre,120.0,2.0,5.0,270000.0
Ariana,Ariana,villa,À Vendre,260.0,5.0,4.0,694976.5380318186
Ariana,Ariana,villa,À Vendre,1000.0,3.0,6.0,770170.366792402
Tunis,Tunis,villa,sale,402.0,4.0,4.0,684170.8993179842
Tunis,Tunis,villa,sale,402.0,2.0,4.0,684033.9737545496
Tunis,Tunis,Maison,À Vendre,280.0,2.0,8.0,497392.50897754234
Ariana,Ariana,villa,À Vendre,350.0,1.0,4.0,420000.0
Nabeul,Nabeul,Maison,À Vendre,200.0,1.0,4.0,397417.7912808996
Sfax,Sfax,Maison,À Vendre,371.0,1.0,3.0,350000.0
Ben Arous,Ben_Arous,Villa,À Vendre,255.0,2.0,8.0,170000.0
Nabeul,Nabeul,villa,À Vendre,260.0,2.0,3.0,1150000.0
Tunis,Tunis,Maison,À Vendre,100.0,2.0,4.0,346956.72027810034
Ariana,Ariana,Maison,À Vendre,330.0,1.0,4.0,357690.02405994403
Ben Arous,Ben_Arous,villa,À Vendre,900.0,3.0,6.0,686985.5701953846
Nabeul,Nabeul,Appartement,À Vendre,100.0,2.0,2.0,220000.0
Ariana,Ariana,villa,À Vendre,200.0,2.0,4.0,135000.0
La Manouba,La_Manouba,Appartement,À Vendre,200.0,1.0,2.0,175000.0
Le Kef,Le_Kef,villa,À Vendre,314.0,1.0,5.0,484441.22819000576
Ben Arous,Ben_Arous,villa,À Vendre,400.0,2.0,6.0,300000.0
Tunis,Tunis,villa,À Vendre,325.0,2.0,4.0,670000.0
Ariana,Ariana,Appartement,À Vendre,150.0,2.0,3.0,550000.0
Nabeul,Nabeul,villa,À Vendre,315.0,3.0,6.0,370000.0
Tunis,Tunis,villa,À Vendre,520.0,2.0,6.0,950000.0
Sousse,Sousse,villa,À Vendre,218.0,1.0,4.0,950000.0
Tunis,Tunis,villa,À Vendre,520.0,2.0,7.0,975000.0
Sousse,Sousse,villa,À Vendre,218.0,2.0,4.0,721109.303457795
Tunis,Tunis,villa,À Vendre,493.0,3.0,6.0,759320.5045167175
Ariana,Ariana,villa,À Vendre,480.0,1.0,3.0,220000.0
Nabeul,Nabeul,villa,À Vendre,400.0,2.0,4.0,850000.0
Ben Arous,Ben_Arous,villa,À Vendre,518.0,3.0,6.0,800000.0
Sousse,Sousse,villa,À Vendre,349.0,2.0,3.0,590000.0
La Manouba,La_Manouba,Maison,À Vendre,84.0,1.0,1.0,124281.34603510599
Tunis,Tunis,villa,À Vendre,220.0,2.0,5.0,500000.0
Ariana,Ariana,villa,À Vendre,600.0,3.0,5.0,1200000.0
Ben Arous,Ben_Arous,villa,À Vendre,582.0,3.0,6.0,950000.0
Tunis,Tunis,villa,À Vendre,500.0,3.0,8.0,680000.0
